Pinger Start in Client Mode
size=20 bytes from=10.0.0.3 seq=0 rtt=19
size=20 bytes from=10.0.0.3 seq=1 rtt=12
size=20 bytes from=10.0.0.3 seq=2 rtt=12
size=20 bytes from=10.0.0.3 seq=3 rtt=12
size=20 bytes from=10.0.0.3 seq=4 rtt=11
size=20 bytes from=10.0.0.3 seq=5 rtt=11
size=20 bytes from=10.0.0.3 seq=6 rtt=11
size=20 bytes from=10.0.0.3 seq=7 rtt=11
size=20 bytes from=10.0.0.3 seq=8 rtt=11
size=20 bytes from=10.0.0.3 seq=9 rtt=12
size=20 bytes from=10.0.0.3 seq=10 rtt=11
size=20 bytes from=10.0.0.3 seq=11 rtt=12
size=20 bytes from=10.0.0.3 seq=12 rtt=11
size=20 bytes from=10.0.0.3 seq=13 rtt=11
size=20 bytes from=10.0.0.3 seq=14 rtt=11
size=20 bytes from=10.0.0.3 seq=15 rtt=12
size=20 bytes from=10.0.0.3 seq=16 rtt=11
size=20 bytes from=10.0.0.3 seq=17 rtt=11
size=20 bytes from=10.0.0.3 seq=18 rtt=11
size=20 bytes from=10.0.0.3 seq=19 rtt=12
sent=20 received=20 lost=0.00% rtt min/avg/max=11/11.75/19
