Pinger Start in Client Mode
size=20 bytes from=10.0.0.5 seq=0 rtt=59
size=20 bytes from=10.0.0.5 seq=1 rtt=46
size=20 bytes from=10.0.0.5 seq=2 rtt=42
size=20 bytes from=10.0.0.5 seq=3 rtt=41
size=20 bytes from=10.0.0.5 seq=4 rtt=41
size=20 bytes from=10.0.0.5 seq=5 rtt=41
size=20 bytes from=10.0.0.5 seq=6 rtt=42
size=20 bytes from=10.0.0.5 seq=7 rtt=42
size=20 bytes from=10.0.0.5 seq=8 rtt=42
size=20 bytes from=10.0.0.5 seq=9 rtt=42
size=20 bytes from=10.0.0.5 seq=10 rtt=42
size=20 bytes from=10.0.0.5 seq=11 rtt=41
size=20 bytes from=10.0.0.5 seq=12 rtt=42
size=20 bytes from=10.0.0.5 seq=13 rtt=42
size=20 bytes from=10.0.0.5 seq=14 rtt=42
size=20 bytes from=10.0.0.5 seq=15 rtt=42
size=20 bytes from=10.0.0.5 seq=16 rtt=41
size=20 bytes from=10.0.0.5 seq=17 rtt=41
size=20 bytes from=10.0.0.5 seq=18 rtt=42
size=20 bytes from=10.0.0.5 seq=19 rtt=42
sent=20 received=20 lost=0.00% rtt min/avg/max=41/42.75/59
