Pinger Start in Client Mode
size=20 bytes from=10.0.0.1 seq=0 rtt=194
size=20 bytes from=10.0.0.1 seq=1 rtt=192
size=20 bytes from=10.0.0.1 seq=2 rtt=183
size=20 bytes from=10.0.0.1 seq=3 rtt=181
size=20 bytes from=10.0.0.1 seq=4 rtt=181
size=20 bytes from=10.0.0.1 seq=5 rtt=181
size=20 bytes from=10.0.0.1 seq=6 rtt=181
size=20 bytes from=10.0.0.1 seq=7 rtt=181
size=20 bytes from=10.0.0.1 seq=8 rtt=181
size=20 bytes from=10.0.0.1 seq=9 rtt=181
size=20 bytes from=10.0.0.1 seq=10 rtt=181
size=20 bytes from=10.0.0.1 seq=11 rtt=182
size=20 bytes from=10.0.0.1 seq=12 rtt=181
size=20 bytes from=10.0.0.1 seq=13 rtt=182
size=20 bytes from=10.0.0.1 seq=14 rtt=181
size=20 bytes from=10.0.0.1 seq=15 rtt=181
size=20 bytes from=10.0.0.1 seq=16 rtt=181
size=20 bytes from=10.0.0.1 seq=17 rtt=182
size=20 bytes from=10.0.0.1 seq=18 rtt=182
size=20 bytes from=10.0.0.1 seq=19 rtt=182
sent=20 received=20 lost=0.00% rtt min/avg/max=181/182.55/194
